id,property_cost,monthly_income,current_total_emi,interest_rate,loan_amount,tenure,interest_amount,offer_processing_fees,offer_emi,Success
3099,0,35000,0,9.9,"17,76,310",20,"23,80,539","13,322","17,318",0
3103,0,65000,0,9.95,"43,00,000",20,"57,61,894","15,000","41,924",0
3127,0,30000,0,9.95,"21,21,187",25,"37,28,812","15,000","19,500",0
3129,0,25000,0,9.9,"12,03,195",20,"16,12,717","9,023","11,730",0
3137,2323000,15000,0,9.9,"17,80,000",20,"23,85,469","13,350","17,354",0
3138,1425000,40000,0,9.95,"10,00,350",20,"13,40,540","15,000","9,753",0
3148,7200000,46832,18000,9.9,"44,20,714",20,"65,30,577","22,103","45,630",0
3149,7200000,46832,18000,10.5,"44,20,714",20,"61,72,113","22,103","44,135",0
3152,3550000,75000,0,10.5,"30,00,000",15,"29,69,400","15,000","33,161",0
3154,1500000,17000,0,9.9,"9,00,000",20,"11,70,487","1,200","8,625",0
3156,3000000,37500,0,10.5,"20,00,000",20,"27,92,564","10,000","19,967",0
3157,6500000,1500000,0,10.5,"45,50,000",5,"13,17,839","18,200","97,797",0
3170,,15000,0,10.5,"7,61,275",20,"10,63,068","3,806","7,600",0
3182,0,16000,0,10.5,"8,12,027",20,"11,33,749","4,060","8,107",0
3186,800000,20000,0,10.5,"2,00,000",20,"2,79,655","1,000","1,996",0
3191,0,22000,0,9.95,"11,16,537",15,"10,61,659","15,000","12,101",0
3193,1750000,42000,0,9.95,"12,25,000",20,"16,41,718","15,000","11,943",0
3194,0,30000,0,9.95,"15,22,551",20,"20,40,462","15,000","14,844",0
3197,5200000,35000,0,10.5,"36,00,000",20,"50,26,387","14,400","35,941",0
3200,1500000,35000,0,9.95,"13,50,000",20,"18,09,066","15,000","13,162",0
3207,7000000,25000,0,9.95,"20,14,514",20,"26,99,422","15,000","19,641",0
3209,0,70000,7300,9.95,"28,79,006",20,"38,58,144","15,000","28,069",0
3211,,27000,2306,9.9,"11,57,508",20,"15,51,266","8,681","11,285",0
3213,2500000,37900,3400,9.9,"21,00,000",20,"28,14,222","15,750","20,474",0
3214,0,30000,0,9.95,"30,00,000",25,"52,74,605","15,000","27,578",0
3218,0,25000,0,9.95,"23,85,330",20,"31,96,510","15,000","23,256",0
3222,1000000,27000,0,9.9,"7,00,000",15,"6,65,732","5,250","7,586",0
3223,1150000,7000,0,9.9,"8,05,000",20,"10,78,981","6,037","7,848",0
3229,0,25000,0,9.9,"12,00,000",15,"12,21,346","6,000","13,451",0
3230,0,25000,0,9.95,"12,00,000",15,"11,41,153","15,000","13,005",0
3234,0,53000,0,9.9,"26,89,841",20,"36,04,496","20,173","26,225",0
3235,0,53000,0,9.95,"26,89,841",20,"36,04,496","15,000","26,225",0
3236,2600000,20000,0,9.95,"14,14,125",25,"24,86,935","15,000","12,999",0
3242,1511000,18000,0,9.9,"9,13,531",20,"12,24,491","6,851","8,906",0
3245,1511000,18000,0,9.95,"9,13,531",20,"12,24,491","15,000","8,906",0
3254,4000000,33000,4500,9.9,"29,75,000",30,"65,42,951","22,312","26,438",0
3257,0,30000,0,9.9,"5,04,684",5,"1,40,941","3,785","10,760",0
3271,2800000,60000,0,9.9,"23,80,000",20,"31,89,380","17,850","23,204",0
3288,4200000,40000,0,10.5,"29,40,000",15,"29,09,956","14,700","32,498",0
3291,1725000,22000,0,9.95,"14,66,695",20,"19,65,838","15,000","14,299",0
3302,,52000,0,9.95,"30,00,000",20,"40,20,088","15,000","29,249",0
3304,1200000,23000,0,9.9,"12,00,000",20,"16,08,355","9,000","11,699",0
3305,,25000,0,9.95,"44,00,000",20,"58,95,880","15,000","42,899",0
3322,,16000,0,9.95,"10,00,000",20,"13,40,385","15,000","9,749",0
3335,2500000,23000,1700,9.95,"20,00,000",22,"30,08,308","15,000","18,969",0
3338,1700000,13000,0,9.95,"12,00,000",20,"16,08,355","15,000","11,699",0
3358,3100000,67000,20000,9.95,"24,15,432",30,"53,12,832","15,000","21,465",0
3372,,12000,0,9.9,"8,10,193",30,"17,81,806","6,076","7,200",0
3393,800000,20000,0,9.95,"3,00,000",20,"4,02,489","15,000","2,924",0
3415,1150000,22000,0,9.9,"6,00,300",10,"3,57,737","4,502","7,982",0
3448,0,70000,7300,9.9,"28,79,006",20,"38,58,144","21,592","28,069",0
3449,0,70000,7300,9.9,"28,79,006",20,"41,36,140","14,395","29,228",0
3454,5200000,35000,0,9.9,"36,40,000",20,"48,77,593","27,300","35,489",0
3497,9000000,17000,0,9.95,"20,00,000",20,"26,80,236","15,000","19,499",0
3538,,45000,0,9.95,"30,00,000",20,"40,20,088","15,000","29,249",0
3548,4500000,35000,2500,9.9,"15,45,620",20,"20,71,329","11,592","15,069",0
3553,4500000,35000,2500,9.95,"20,76,963",30,"45,68,685","15,000","18,457",0
3566,0,32000,0,9.9,"20,00,000",20,"26,80,236","15,000","19,499",1
3582,4700000,58300,0,9.95,"37,60,000",20,"50,38,375","15,000","36,659",0
3601,1100000,20000,0,9.95,"9,90,000",20,"13,26,719","15,000","9,652",0
3609,,31000,0,9.95,"15,73,303",20,"21,08,370","15,000","15,339",0
3616,,18300,0,9.9,"15,00,000",20,"20,10,311","11,250","14,624",0
3617,5600000,45000,0,9.9,"30,10,546",30,"66,20,905","22,579","26,754",0
3619,5600000,45000,0,9.95,"30,10,546",25,"52,93,089","15,000","27,675",0
3627,4500000,70000,0,9.95,"30,98,250",20,"41,51,695","15,000","30,207",0
3632,4500000,70000,0,9.9,"31,50,000",20,"42,21,333","23,625","30,711",0
3634,12000000,1250000,15000,9.95,"84,00,000",20,"1,15,92,335","21,000","83,300",0
3638,0,16500,0,9.9,"8,00,000",20,"10,40,263","5,000","7,667",0
3642,2300000,25000,0,9.9,"12,68,793",20,"17,00,385","9,515","12,370",0
3645,4200000,150000,9000,9.9,"35,00,000",20,"46,90,013","26,250","34,124",0
3649,1000000,15000,0,9.9,"7,00,000",20,"9,38,430","5,250","6,824",0
3650,1000000,15000,0,10.5,"7,00,000",20,"10,05,944","10,000","7,106",0
3658,,16000,0,9.9,"9,80,000",20,"13,13,588","7,350","9,554",0
3664,3500000,40000,0,9.95,"28,00,000",25,"49,22,398","15,000","25,740",0
3669,2600000,15000,0,9.95,"15,02,800",20,"20,13,688","15,000","14,652",0
3671,0,24000,0,9.9,"15,00,000",30,"32,99,132","11,250","13,330",0
3672,3800000,28500,0,10.5,"17,00,000",20,"23,73,651","8,500","16,972",0
3673,2600000,15000,0,9.9,"15,02,800",20,"20,13,688","11,271","14,652",0
3675,2500000,40000,0,9.9,"21,25,000",20,"28,47,584","15,937","20,718",0
3677,1500000,22000,0,9.9,"10,50,000",20,"14,07,111","7,875","10,237",0
3680,1600000,24500,0,9.95,"12,09,600",20,"16,21,004","15,000","11,793",0
3681,1600000,24500,0,9.9,"12,09,600",20,"16,21,004","9,072","11,793",0
3714,1100000,43000,0,9.9,"7,70,000",20,"10,31,952","5,775","7,507",0
3722,1750000,27000,0,9.95,"14,50,000",20,"19,43,051","15,000","14,137",0
3726,2500000,48000,12300,9.95,"13,00,000",10,"7,74,596","15,000","17,287",0
3735,1400000,18500,0,9.95,"12,00,000",20,"16,08,355","15,000","11,699",0
3746,,30000,0,9.95,"20,00,000",30,"43,99,501","15,000","17,773",0
3759,1652000,28000,0,9.95,"13,23,252",12,"9,70,596","15,000","15,928",0
3760,1652000,28000,0,9.9,"13,23,252",12,"9,70,596","9,924","15,928",0
3762,3943200,20000,0,9.95,"31,17,100",20,"41,76,837","15,000","30,391",0
3772,25000000,150000,0,9.9,"76,12,758",20,"1,02,01,243","76,127","74,222",0
3780,0,15000,0,9.9,"4,05,097",5,"1,13,126","3,038","8,637",0
3783,2000000,24000,0,9.95,"6,00,000",20,"8,04,445","15,000","5,849",0
3791,2500000,30630,10330,9.95,"9,50,000",20,"12,73,125","15,000","9,262",0
3793,,40000,0,9.95,"40,00,000",20,"53,59,939","15,000","38,999",1
3797,9000000,43000,0,10.2,"31,97,358",20,"46,19,534","15,986","32,568",0
3803,4800000,26050,10750,9.95,"32,69,000",15,"31,08,401","15,000","35,429",0
3805,0,14200,2400,9.95,"10,06,729",20,"13,49,195","15,000","9,815",0
3809,2000000,37000,6000,9.9,"11,00,000",15,"10,46,117","8,250","11,921",0
3811,5500000,70000,0,9.9,"35,52,620",20,"47,60,544","26,644","34,637",0
3814,,15000,0,9.95,"10,00,000",30,"22,00,737","15,000","8,886",1
3816,0,166000,0,9.95,"30,00,000",10,"17,87,451","15,000","39,894",0
3818,,160000,0,9.9,"30,00,000",10,"17,87,451","22,500","39,894",0
3820,1500000,25000,0,9.95,"13,50,000",20,"18,09,066","15,000","13,162",0
3822,1600000,22000,0,9.95,"10,00,000",10,"5,95,817","15,000","13,298",0
3825,1500000,80000,0,9.9,"7,02,000",10,"4,46,608","3,510","9,570",0
3830,2600000,50000,0,9.95,"20,00,000",20,"26,80,236","15,000","19,499",0
3831,1850000,34000,0,10.5,"12,95,000",20,"18,07,975","6,475","12,929",0
3840,,45000,0,9.95,"30,00,000",20,"40,20,088","15,000","29,249",0
3848,0,12600,0,9.9,"8,38,652",30,"18,46,169","6,289","7,452",0
3849,0,12600,0,9.95,"8,29,436",30,"18,24,124","15,000","7,371",0
3857,1700000,51000,7700,9.95,"15,30,000",20,"20,50,239","15,000","14,917",0
3859,5700000,87000,12000,9.95,"33,08,089",20,"44,32,814","15,000","32,253",0
3860,1600000,22000,0,9.9,"10,00,000",10,"5,95,817","7,500","13,298",0
3861,0,34000,0,9.95,"22,66,711",20,"30,37,288","15,000","22,100",0
3863,1350000,36000,0,9.95,"12,00,000",20,"16,08,355","15,000","11,699",0
3868,0,150000,14500,9.95,"70,00,000",25,"1,23,05,996","15,000","64,350",0
3873,2000000,20000,0,9.95,"14,62,850",30,"32,17,149","15,000","13,000",0
3874,0,65000,0,9.95,"35,00,000",10,"20,85,360","10,000","46,543",0
3882,0,54000,0,10.5,"32,38,751",20,"45,21,680","12,955","32,335",0
3883,0,54000,0,9.9,"33,17,744",20,"44,45,820","24,883","32,347",0
3889,0,19200,5300,9.95,"7,36,000",20,"9,86,664","15,000","7,175",0
3892,1200000,22500,2050,9.95,"10,44,643",15,"9,93,494","15,000","11,321",0
3897,0,20000,0,9.9,"10,15,034",20,"13,60,308","7,612","9,896",1
3900,0,17000,0,9.9,"23,85,330",30,"52,47,614","17,889","21,197",0
3901,0,33000,0,9.95,"20,00,000",30,"43,99,501","15,000","17,773",0
3902,0,33000,0,9.9,"20,00,000",30,"43,99,501","15,000","17,773",0
3906,0,8000,0,9.9,"4,92,000",20,"6,59,741","3,690","4,796",0
3918,0,14000,0,9.9,"7,10,524",20,"9,52,322","5,328","6,927",0
3919,,65000,0,9.95,"30,00,000",11,"19,91,618","15,000","37,814",0
3921,,65000,0,9.9,"32,98,861",20,"44,20,467","24,741","32,163",0
3925,0,39000,0,9.9,"9,00,000",10,"5,36,252","6,750","11,968",0
3941,6000000,40000,0,9.95,"47,94,000",20,"64,24,048","15,000","46,740",0
3943,6000000,40000,0,9.9,"51,00,000",20,"68,33,775","38,250","49,724",0
3955,0,7916666,4709058,9.95,"4,81,41,593",30,"10,90,99,262","1,20,353","4,36,774",0
3956,1000000,10500,0,10.5,"5,26,417",20,"7,56,425","10,000","5,344",0
3962,7950000,93000,15000,9.95,"51,14,348",30,"1,12,47,651","15,000","45,450",0
3968,4800000,40000,0,9.95,"20,30,068",20,"27,20,616","15,000","19,792",0
3969,2500000,38000,1000,9.95,"17,50,000",20,"23,45,006","15,000","17,062",0
3970,2000000,23200,0,9.95,"18,00,000",24,"30,10,633","15,000","16,701",0
3991,,95000,17000,9.95,"41,15,503",20,"55,14,780","15,000","40,125",0
4004,,30000,0,9.95,"15,22,551",20,"20,40,462","15,000","14,844",0
4005,,95000,16500,10.5,"27,00,000",20,"37,69,648","13,500","26,956",0
4013,2100000,23000,0,9.95,"12,11,240",20,"16,23,196","15,000","11,809",0
4036,,35000,0,10.5,"17,76,310",20,"24,80,112","8,881","17,734",0
4038,0,160000,0,9.95,"94,61,361",15,"92,58,888","23,653","1,03,999",0
4055,2800000,20000,0,9.95,"13,31,194",20,"17,84,211","15,000","12,978",1
4063,2478000,25000,0,9.9,"21,00,000",20,"28,14,222","15,750","20,474",0
4067,,25000,0,9.9,"5,00,000",10,"3,18,119","2,500","6,816",0
4070,0,25000,0,9.95,"7,62,162",5,"2,12,837","15,000","16,250",0
4076,3800000,28500,0,9.95,"17,00,000",20,"22,78,281","15,000","16,574",0
4077,,20000,4000,9.95,"9,00,000",20,"12,06,400","15,000","8,774",0
4085,1500000,10000,0,9.95,"9,33,351",20,"12,50,648","15,000","9,100",0
4086,,19000,3200,9.95,"6,68,999",20,"8,96,761","15,000","6,522",0
4091,0,25000,0,9.95,"13,00,000",20,"17,42,341","15,000","12,674",0
4096,1800000,15000,0,9.95,"10,00,000",30,"22,00,737","15,000","8,886",0
4110,1800000,31250,0,9.9,"15,06,600",20,"21,64,568","7,533","15,295",0
4111,0,33000,0,9.9,"20,03,374",20,"26,84,702","15,025","19,532",0
4114,0,25000,0,9.9,"10,00,000",20,"13,40,385","7,500","9,749",0
4115,0,36000,13000,9.95,"17,00,000",20,"22,78,281","15,000","16,574",0
4117,2200000,40000,0,9.95,"19,58,000",20,"26,23,696","15,000","19,090",0
4118,2100000,17000,0,9.95,"10,00,000",30,"22,00,737","15,000","8,886",0
4119,2100000,17000,0,9.9,"10,00,000",30,"22,00,737","7,500","8,886",0
4121,0,25000,0,9.95,"10,00,000",20,"13,40,385","15,000","9,749",0
4122,0,33000,0,9.95,"20,00,000",20,"26,80,236","15,000","19,499",0
4124,6000000,75000,0,10.5,"24,73,934",9,"13,60,404","12,369","35,503",0
4128,,19000,0,9.95,"12,00,000",20,"16,08,355","15,000","11,699",0
4133,8000000,23000,0,9.95,"20,54,573",20,"27,53,402","15,000","20,031",0
4136,3200000,21000,0,9.95,"14,00,000",20,"18,76,326","15,000","13,649",0
4137,600000,15000,2506,9.95,"5,00,000",20,"6,70,459","15,000","4,874",0
4138,1800000,21000,0,9.95,"14,00,000",20,"18,76,326","15,000","13,649",0
4144,1800000,31250,0,10.5,"15,06,600",20,"21,03,719","7,533","15,041",0
4152,0,50000,0,9.95,"30,00,000",20,"40,20,088","10,000","29,249",0
4154,,25000,0,9.95,"26,00,000",20,"34,84,147","15,000","25,349",1
4157,3300000,50000,0,9.95,"26,30,000",20,"35,24,610","15,000","25,641",0
4158,0,58000,0,9.95,"25,00,000",20,"33,50,162","15,000","24,374",0
4159,3300000,50000,0,9.9,"28,00,000",20,"37,52,117","21,000","27,299",0
4170,,18000,0,9.95,"12,00,000",20,"16,08,355","15,000","11,699",0
4173,6000000,30000,0,9.95,"10,00,000",15,"9,50,841","15,000","10,838",0
4176,2500000,30000,0,9.95,"20,00,000",20,"26,80,236","15,000","19,499",0
4183,2500000,25000,0,9.95,"6,03,426",12,"4,42,669","15,000","7,263",0
4185,1250000,28500,12400,9.95,"6,28,217",20,"8,41,782","15,000","6,125",0
4186,1200000,20000,0,9.95,"10,04,400",20,"13,46,227","15,000","9,792",1
4201,0,19500,0,9.95,"7,00,000",7,"2,80,718","15,000","11,675",0
4202,,15000,0,9.9,"8,81,086",20,"11,80,838","6,608","8,590",0
4203,0,19400,0,9.95,"12,00,000",20,"16,08,355","10,000","11,699",0
4204,,15000,0,10.5,"7,89,940",20,"11,35,205","10,000","8,019",0
4206,2650000,34500,0,9.95,"21,00,000",20,"28,14,222","10,000","20,474",0
4217,10000000,200000,40000,9.95,"64,59,310",20,"86,55,195","15,000","62,977",0
4243,0,37000,0,9.95,"18,08,505",10,"10,77,494","15,000","24,050",0
4250,,20000,0,9.95,"10,15,034",20,"13,60,308","15,000","9,896",0
4252,0,26000,0,9.95,"12,00,000",20,"16,08,355","15,000","11,699",0
4256,,19000,0,9.9,"11,60,000",20,"15,54,761","8,700","11,309",0
4258,0,18000,0,9.95,"9,00,000",20,"12,06,400","15,000","8,774",0
4259,9100000,172000,28840,9.85,"60,68,060",20,"81,31,148","24,272","59,162",0
4262,2400000,32000,7131,9.95,"14,80,000",25,"26,02,294","15,000","13,605",0
4263,4000000,90000,0,9.95,"32,00,000",20,"42,88,058","15,000","31,199",0
4267,1200000,35000,0,9.95,"8,40,000",10,"5,00,514","15,000","11,170",0
4271,,32000,0,9.95,"15,50,000",10,"9,23,507","15,000","20,612",0
4274,5000000,20800,14000,9.9,"20,00,000",20,"28,73,444","10,000","20,304",0
4275,,38000,0,9.95,"12,00,000",20,"16,08,355","15,000","11,699",0
4282,0,17000,0,9.95,"12,64,477",30,"27,13,522","5,000","11,050",0
4283,0,20000,0,9.95,"10,15,034",20,"13,60,308","15,000","9,896",0
4286,8400000,110000,0,9.95,"67,20,000",20,"90,04,869","15,000","65,518",0
4287,0,70000,0,9.95,"35,00,000",20,"47,46,086","10,000","34,357",0
4289,2300000,30000,0,9.95,"10,00,000",20,"13,40,385","15,000","9,749",0
4306,0,26000,0,9.9,"15,00,000",20,"20,10,311","5,000","14,624",0
4309,,17500,0,9.9,"11,20,000",20,"16,09,272","5,600","11,370",0
4315,,17100,6175,9.95,"11,51,503",20,"15,43,463","15,000","11,226",0
4317,,45000,0,9.95,"23,00,000",20,"30,82,192","15,000","22,424",0
4318,,45000,0,9.9,"22,83,827",20,"30,60,693","17,128","22,424",0
4324,2000000,32000,0,9.95,"15,00,000",20,"20,10,311","15,000","14,624",0
4336,3665000,82132,15312,9.85,"25,21,520",10,"15,02,379","10,086","33,531",0
4338,,33000,0,9.95,"25,00,000",25,"43,95,150","15,000","22,982",0
4339,2300000,20000,0,9.95,"20,00,000",10,"11,91,634","15,000","26,596",0
4348,,17000,0,9.9,"18,80,000",20,"27,00,894","9,400","19,086",0
4359,1500000,39000,0,9.9,"10,50,000",10,"6,25,599","7,500","13,963",0
4362,,32000,0,9.95,"28,70,000",20,"38,46,174","15,000","27,981",1
4369,,190000,30000,9.95,"55,00,000",20,"73,70,250","15,000","53,623",0
4382,,25000,0,9.95,"12,00,000",20,"16,08,355","15,000","11,699",0
4383,,25000,0,9.9,"12,00,000",20,"17,24,306","6,000","12,182",0
4386,1500000,39000,0,9.95,"10,50,000",10,"6,25,599","15,000","13,963",0
4390,4200000,100000,0,9.95,"33,60,000",20,"45,02,434","15,000","32,759",0
4391,0,22000,0,9.95,"26,00,000",20,"34,84,147","15,000","25,349",0
4392,4200000,100000,0,9.9,"33,60,000",20,"45,02,434","10,000","32,759",0
4396,0,33000,0,9.95,"20,00,000",30,"43,99,501","15,000","17,773",0
4399,0,15700,0,9.95,"7,00,000",30,"15,40,911","10,000","6,220",0
4405,,41500,0,9.9,"25,15,000",20,"33,70,393","18,862","24,520",0
4421,0,20000,0,9.95,"13,33,000",20,"17,86,422","15,000","12,996",0
4423,12500000,25000,0,9.9,"12,00,000",20,"16,08,355","9,000","11,699",0
4430,2000000,25000,0,9.95,"15,00,000",20,"20,10,311","10,000","14,624",0
4431,3500000,25000,0,9.9,"26,00,000",30,"57,19,155","19,500","23,105",0
4432,0,75000,0,9.85,"20,00,000",10,"11,71,630","8,000","26,430",0
4433,,120000,18000,9.85,"30,00,000",12,"22,00,348","12,000","36,112",0
4436,0,40000,0,9.95,"20,00,000",20,"26,80,236","15,000","19,499",0
4438,0,21000,0,9.9,"12,80,000",20,"17,15,543","9,600","12,479",0
4439,400000,11000,0,10.5,"3,60,000",8,"1,78,267","10,000","5,606",0
4441,0,83000,0,9.95,"35,00,000",20,"46,90,013","15,000","34,124",0
4446,0,25000,0,9.95,"12,68,793",20,"17,00,385","15,000","12,370",0
4457,7900000,95000,14500,9.85,"43,06,687",20,"57,70,960","17,226","41,989",0
4459,0,40000,15000,9.95,"10,00,000",25,"17,58,909","15,000","9,192",0
4467,0,37500,0,9.95,"40,00,000",20,"53,59,939","15,000","38,999",0
4468,2800000,30000,0,9.95,"21,94,275",30,"48,25,724","15,000","19,500",0
4469,0,20000,0,9.95,"10,00,000",30,"22,00,737","15,000","8,886",0
4480,,28300,0,9.95,"20,00,000",25,"35,16,757","15,000","18,385",0
4482,,22000,0,9.95,"12,00,000",20,"16,08,355","15,000","11,699",1
4483,0,18000,0,9.95,"12,00,000",20,"16,08,355","15,000","11,699",0
4486,1300000,21000,0,9.9,"10,88,100",25,"19,13,672","7,500","10,002",0
4487,1300000,21000,0,9.95,"11,70,000",30,"25,74,113","15,000","10,397",0
4488,1300000,21000,0,9.9,"10,99,800",25,"19,33,770","8,248","10,110",0
4490,2000000,28000,0,9.95,"14,00,000",15,"13,31,225","15,000","15,173",0
4491,3500000,25000,0,9.95,"26,00,000",20,"34,84,147","15,000","25,349",0
4492,2000000,15000,0,10.5,"9,60,000",30,"22,67,078","10,000","8,961",0
4496,3300000,240000,35000,9.85,"20,00,000",20,"26,32,328","8,000","19,300",0
4498,2300000,37000,0,9.95,"5,00,000",10,"2,97,908","15,000","6,649",0
4501,0,15000,0,9.95,"7,00,000",20,"9,38,430","15,000","6,824",0
4505,3300000,45000,10500,9.85,"23,10,000",20,"30,40,080","9,240","22,292",0
4507,2000000,100000,21000,9.95,"14,00,000",15,"13,46,752","7,000","15,259",0
4508,0,17000,0,9.9,"9,00,000",20,"12,92,930","4,500","9,137",0
4522,1500000,200000,0,9.95,"13,50,000",10,"8,04,379","15,000","17,952",0
4524,,30000,0,9.95,"8,00,000",5,"2,25,776","4,000","17,096",0
4525,,35000,8000,9.95,"11,00,000",20,"14,74,370","15,000","10,724",0
4531,3800000,48500,7500,9.95,"30,00,000",20,"40,20,088","15,000","29,249",0
4532,3800000,48500,7500,9.95,"30,00,000",20,"40,67,996","10,000","29,449",0
4539,0,21000,0,9.95,"18,45,441",30,"40,58,558","15,000","16,400",0
4541,1300000,19000,3200,9.9,"9,00,000",20,"12,92,930","4,500","9,137",0
4542,2800000,15000,0,9.95,"7,00,000",15,"6,65,732","15,000","7,586",0
4544,9000000,291000,25000,9.95,"72,00,000",28,"1,45,45,722","15,000","64,719",0
4558,3000000,40000,0,9.95,"10,00,000",10,"5,95,817","15,000","13,298",0
4560,2500000,41500,0,9.9,"25,00,000",20,"35,91,806","12,500","25,380",0
4572,1800000,12000,0,9.9,"10,00,000",20,"14,36,722","5,000","10,152",0
4573,0,21000,0,9.9,"15,50,000",20,"22,26,680","7,750","15,736",0
4584,0,24000,0,9.95,"12,00,000",20,"16,08,355","15,000","11,699",0
4585,0,19000,0,9.95,"10,00,000",25,"17,58,909","15,000","9,192",0
4619,3400000,82000,0,9.95,"27,20,000",10,"16,20,584","15,000","36,171",0
4620,2200000,18000,0,9.95,"13,16,565",30,"28,97,409","15,000","11,699",1
4622,4000000,60000,0,9.95,"30,00,000",20,"40,20,088","15,000","29,249",1
4634,0,41500,0,9.95,"20,00,000",30,"43,99,501","10,000","17,773",0
4639,2500000,50000,12000,9.95,"20,00,000",20,"26,80,236","15,000","19,499",0
4641,0,20000,0,9.9,"12,43,423",20,"17,86,591","6,217","12,623",0
4650,0,25000,0,9.95,"16,50,000",20,"22,11,021","15,000","16,087",0
4654,0,250000,0,9.85,"1,60,00,000",25,"2,81,26,628","64,000","1,47,087",0
4656,0,250000,0,9.95,"1,60,00,000",25,"2,89,79,211","40,000","1,49,927",0
4665,1200000,10000,0,9.95,"10,50,000",20,"14,07,111","15,000","10,237",0
4679,5000000,80000,0,9.9,"35,00,000",20,"46,90,013","10,000","34,124",0
4680,0,38000,0,9.95,"19,00,000",13,"15,28,538","15,000","21,977",0
4686,500000,15044,2267,9.95,"4,50,000",20,"6,03,200","15,000","4,387",1
4688,0,150000,14500,9.85,"70,00,000",25,"1,23,05,996","28,000","64,350",0
4697,0,15000,0,10.5,"7,00,000",15,"7,12,562","10,000","7,846",0
4698,0,15000,0,9.9,"7,00,000",15,"6,65,732","5,250","7,586",0
4701,0,26000,0,9.95,"15,00,000",20,"20,10,311","15,000","14,624",0
4702,2500000,70000,0,9.9,"14,00,000",10,"8,90,528","7,000","19,087",0
4703,2500000,65000,0,9.9,"14,00,000",10,"8,34,161","7,500","18,617",0
4704,2500000,65000,0,9.95,"14,00,000",10,"8,43,495","7,000","18,695",0
4711,5300000,73000,4000,9.95,"42,40,000",20,"56,81,503","15,000","41,339",0
4717,4600000,82000,15000,9.95,"35,00,000",20,"46,90,013","15,000","34,124",1
4720,,35000,0,9.95,"20,00,000",20,"26,80,236","2,015","19,499",0
4723,0,34000,0,9.95,"20,00,000",15,"19,01,682","15,000","21,676",0
4727,4000000,108000,15000,9.85,"22,00,000",7,"8,67,921","8,800","36,522",0
4733,,25000,0,9.9,"12,00,000",20,"16,08,355","7,500","11,699",0
4737,0,18000,0,9.9,"11,32,246",20,"16,27,058","5,661","11,494",0
4743,2800000,150000,0,9.9,"15,00,800",5,"4,19,114","7,500","31,998",0
4746,4000000,108000,15000,9.9,"20,80,000",7,"8,34,151","7,500","34,691",0
4750,,60000,0,9.95,"24,00,000",30,"52,78,612","15,000","21,328",0
4751,,60000,0,9.9,"24,00,000",30,"52,78,612","7,500","21,328",0
4761,,20000,0,9.95,"7,00,000",20,"9,38,430","15,000","6,824",0
4762,,60000,0,9.95,"20,00,000",20,"26,80,236","15,000","19,499",1
4764,,5000,0,9.95,"7,00,000",10,"4,17,123","15,000","9,308",0
4766,,5000,0,9.9,"7,00,000",10,"4,17,123","5,000","9,308",0
4776,,27000,0,9.95,"16,00,000",20,"21,44,296","15,000","15,599",0
4802,3000000,22000,0,9.9,"25,50,000",20,"34,16,887","19,125","24,862",0
4812,,25000,0,9.95,"5,00,000",5,"1,39,635","15,000","10,660",0
4824,,10500,0,10.5,"6,00,000",20,"8,62,153","10,000","6,091",0
